idx;x [m];y [m];z [m];Reff [m]
593;-3.5739;3.9512;-0.41;0.442
594;-3.5739;3.9512;-0.3743;0.473
595;-3.5739;3.9512;-0.3386;0.509
596;-3.5739;3.9512;-0.3029;NaN
597;-3.5739;3.9512;-0.2672;NaN
598;-3.5739;3.9512;-0.2315;NaN
599;-3.5739;3.9512;-0.1958;NaN
600;-3.5573;3.9254;-0.4458;0.448
601;-3.5573;3.9254;-0.41;0.477
602;-3.5573;3.9254;-0.3743;0.509
603;-3.5573;3.9254;-0.3386;NaN
604;-3.5573;3.9254;-0.3029;NaN
605;-3.5573;3.9254;-0.2672;NaN
606;-3.5573;3.9254;-0.2315;NaN
607;-3.5573;3.9254;-0.1958;NaN
608;-3.5407;3.8996;-0.4458;0.482
609;-3.5407;3.8996;-0.41;0.511
610;-3.5407;3.8996;-0.3743;NaN
